item,size,place,observed_on,date_source,median,n
homeade chili,Cup,The Depot Eatery,2026-08-05,web,7.0,1
homemade chicken pot pie,,The Depot Eatery,2026-08-05,web,18.0,1
homemade lemonade orange juice grapefruit juice,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,5.0,1
homemade lemonade orange juice grapefruit juice,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,5.0,1
homemade lemonade orange juice grapefruit juice,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,5.0,1
honey turkey,,Genova Delicatessen,2026-08-05,fallback,12.95,1
hot cocoa,,In-N-Out Burger,2026-06-25,exif,2.35,2
hot dog,,Barney's Burgers,2026-08-05,web,5.0,1
hot dog,Jumbo,Barney's Burgers,2024-01-15,dom,7.79,1
hot dog,Jumbo,Barney's Burgers,2026-08-05,web,10.75,1
hot dog,Reg,Barney's Burgers,2024-01-15,dom,5.79,1
hot honey chicken and waffle,,The Depot Eatery,2026-08-05,web,18.0,1
hot salami,,Genova Delicatessen,2026-08-05,fallback,12.95,1
hot sauce,,Five Guys,2023-11-27,exif,0.05,1
house made condiments,,Gott's Napa,2026-05-25,exif,4.99,1
house made cookies,,Gott's Napa,2026-05-25,exif,3.99,1
house made meatloaf,,The Depot Eatery,2026-08-05,web,18.0,1
house made pot roast,,The Depot Eatery,2026-08-05,web,18.0,1
house salad,lrg,Perez Kitchen & Bar,2026-08-05,pdf,14.0,1
house salad,sm,Perez Kitchen & Bar,2026-08-05,pdf,8.0,1
house specialty breakfast,,Code 4 Taphouse,2025-11-15,exif,19.95,2
housemade lemonade,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,7.0,1
iced caramel macchiato,,McDonald's,2022-04-16,exif,3.55,1
iced mocha,,McDonald's,2022-04-16,exif,3.55,1
iced tea,,McDonald's,2022-04-16,exif,1.0,1
iris,,Perez Kitchen & Bar,2026-08-05,pdf,17.0,1
isabela,,Perez Kitchen & Bar,2026-08-05,pdf,22.0,1
italian breakfast sandwich,,Perez Kitchen & Bar,2026-08-05,pdf,15.0,1
italian combo,,Genova Delicatessen,2026-08-05,fallback,12.95,1
jalape o pepper jack,,Barney's Burgers,2024-01-15,dom,10.99,1
jalape o pepper jack,,Barney's Burgers,2026-08-05,web,9.45,1
jalapeno peppers,,Five Guys,2023-11-27,exif,0.05,1
jalapeno poppers,,The Depot Eatery,2026-08-05,web,7.5,2
juice green or carrot ginger,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,11.0,1
juice green or carrot ginger,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,11.0,1
juice green or carrot ginger,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,11.0,1
kale salad,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,25.0,1
kale salad,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,25.0,1
ketchup,,Five Guys,2023-11-27,exif,1.1,1
kieren,,Perez Kitchen & Bar,2026-08-05,pdf,20.0,1
kraut dog,,Barney's Burgers,2026-08-05,web,9.25,1
kraut dog,Jumbo,Barney's Burgers,2026-08-05,web,10.75,1
krusty dog,,Barney's Burgers,2024-01-15,dom,8.99,1
large drink,32 fl oz,Five Guys,2023-11-27,exif,3.15,1
lasagna,,Genova Delicatessen,2024-08-31,exif,15.95,1
lasagna,,Genova Delicatessen,2026-08-05,fallback,15.95,1
latte,,McDonald's,2022-04-16,exif,3.55,1
lettuce,,Five Guys,2023-11-27,exif,0.05,1
little bacon burger,,Five Guys,2023-11-27,exif,8.3,1
little bacon cheeseburger,,Five Guys,2023-11-27,exif,9.05,1
little cheeseburger,,Five Guys,2023-11-27,exif,8.05,1
little hamburger,,Five Guys,2023-11-27,exif,7.05,1
lmr grass fed beef,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,30.0,1
lmr grass fed beef,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,30.0,1
lmr grass fed beef,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,30.0,2
lmr grass fed beef,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,30.0,1
lmr grass fed lamb,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,15.0,1
lmr grass fed lamb,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,15.0,1
lmr grass fed lamb,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,15.0,2
lmr grass fed lamb,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,15.0,1
lutheran,,Barney's Burgers,2024-01-15,dom,11.99,1
mac and cheese,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,14.0,1
mac and cheese,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,18.0,1
mac and cheese with sonoma cheddar,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,8.0,1
mac and cheese with sonoma cheddar,,Farmstead at Long Meadow Ranch,2021-07-28,wayback,8.0,1
mac and cheese with sonoma cheddar,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,8.0,1
malibu chicken,,Barney's Burgers,2026-08-05,web,9.95,1
malt,Large,Barney's Burgers,2026-08-05,web,10.3,1
malt,Medium,Barney's Burgers,2026-08-05,web,7.0,1
malt,Small,Barney's Burgers,2026-08-05,web,5.5,1
malts add,,Barney's Burgers,2024-01-15,dom,0.49,1
malts add,,Barney's Burgers,2025-08-18,exif,0.49,1
malts add,,Barney's Burgers,2025-11-21,exif,1.0,1
mayo,,Five Guys,2023-11-27,exif,1.1,1
mcflurry,,McDonald's,2022-04-16,exif,3.99,1
meat ball or sausage,,Genova Delicatessen,2026-08-05,fallback,13.95,1
meat ball or sausage sandwich w sauted onions peppers,,Genova Delicatessen,2024-08-31,exif,13.95,1
meat lovers,,The Depot Eatery,2026-08-05,web,18.0,1
meatloaf sandwich,,River's Edge Restaurant,2026-07-16,exif,20.0,1
meatloaf sandwich,,The Depot Eatery,2026-08-05,web,18.0,1
mexican 7up,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,6.0,1
mexican coke,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,7.0,1
mexican style street corn,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,18.0,1
mike s cowboy burger,,The Depot Eatery,2026-08-05,web,19.0,1
mild cheese,,Genova Delicatessen,2026-08-05,fallback,12.95,1
milk,,In-N-Out Burger,2026-06-25,exif,1.25,2
milk,,McDonald's,2022-04-16,exif,4.49,1
milkshake,Large,Barney's Burgers,2026-08-05,web,9.8,1
milkshake,Medium,Barney's Burgers,2026-08-05,web,6.5,1
milkshake,Small,Barney's Burgers,2026-08-05,web,5.0,1
mill street,,The Depot Eatery,2026-08-05,web,16.0,1
mill street mess,,The Depot Eatery,2026-08-05,web,18.0,1
mini ham sandwiches,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,22.0,1
mocha,,McDonald's,2022-04-16,exif,3.55,1
mole pork chop,,Perez Kitchen & Bar,2026-08-05,pdf,25.0,1
monte cristo,,The Depot Eatery,2026-08-05,web,18.0,1
mortadella,,Genova Delicatessen,2026-08-05,fallback,12.95,1
mozzarella sticks,,The Depot Eatery,2026-08-05,web,7.5,2
mushroom bacon cheese,,Barney's Burgers,2024-01-15,dom,10.99,1
mushroom bacon cheese,,Barney's Burgers,2026-08-05,web,9.95,1
mushroom jack chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
mushroom jack chicken,,Barney's Burgers,2026-08-05,web,9.0,1
mushroom swiss,,Barney's Burgers,2024-01-15,dom,10.99,1
mushroom swiss,,Barney's Burgers,2026-08-05,web,9.45,1
mustard,,Five Guys,2023-11-27,exif,0.3,1
my,,Code 4 Taphouse,2025-11-15,exif,14.75,1
napa palisades pacific plate,,Gott's Napa,2026-05-25,exif,18.99,1
nashville chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
new york steak,,Code 4 Taphouse,2025-11-15,exif,23.95,1
non alcoholic,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,10.0,1
non alcoholic,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,10.0,1
nutella rice cakes,,Code 4 Taphouse,2025-11-15,exif,14.95,2
oats,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
oats,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
oats,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,6.0,1
offsite catering full service,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,75.0,1
old fashioned shakes malts,Large,Barney's Burgers,2025-08-18,exif,6.99,1
old fashioned shakes malts,Medium,Barney's Burgers,2025-08-18,exif,6.49,1
old fashioned shakes malts,Small,Barney's Burgers,2025-08-18,exif,4.99,1
onion rings,,Barney's Burgers,2024-01-15,dom,6.0,1
onion rings,,Barney's Burgers,2026-08-05,web,7.0,1
onions,,Five Guys,2023-11-27,exif,0.1,1
orange chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
oreo cookie pieces,,Five Guys,2023-11-27,exif,0.85,1
oreo cr me,,Five Guys,2023-11-27,exif,0.9,1
ortega chicken,,Barney's Burgers,2026-08-05,web,9.0,1
ortega jack,,Barney's Burgers,2026-08-05,web,9.45,1
pacifico clara,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
pacifico clara,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
pacifico clara,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,6.0,1
pancake bacon,,Code 4 Taphouse,2025-11-15,exif,8.95,2
pancakes,,Perez Kitchen & Bar,2026-08-05,pdf,12.0,1
parfait,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,7.0,1
parfait,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,7.0,1
parfait,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,7.0,1
pastrami,,Genova Delicatessen,2026-08-05,fallback,12.95,1
patty melt,,Barney's Burgers,2024-01-15,dom,10.99,1
patty melt,,Barney's Burgers,2026-08-05,web,9.45,1
patty melt,,The Depot Eatery,2026-08-05,web,17.0,1
peanut butter,,Five Guys,2023-11-27,exif,0.9,1
pepper salami,,Genova Delicatessen,2026-08-05,fallback,14.95,1
pepper turkey,,Genova Delicatessen,2026-08-05,fallback,12.95,1
peppercorn chicken caesar wrap,,Perez Kitchen & Bar,2026-08-05,pdf,17.0,1
perez club,,Perez Kitchen & Bar,2026-08-05,pdf,20.0,1
philly steak,,Code 4 Taphouse,2025-11-15,exif,19.95,1
pickle cream cheese poppers,,The Depot Eatery,2026-08-05,web,7.0,1
pickles,,Five Guys,2023-11-27,exif,0.05,1
pimento cheese dip,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,5.0,1
pimento cheese dip,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,5.0,1
pimento cheese dip,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,5.0,2
pimento cheese dip,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,5.0,1
polenta,,Genova Delicatessen,2024-08-31,exif,15.95,1
polenta,,Genova Delicatessen,2026-08-05,fallback,15.95,1
portabella burger gf,,River's Edge Restaurant,2026-07-16,exif,20.0,1
potato cake combo,,The Depot Eatery,2026-08-05,web,18.0,1
potato salad,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,7.0,1
prime rib,,The Depot Eatery,2026-08-05,web,25.0,1
prosciutto diparma,,Genova Delicatessen,2026-08-05,fallback,16.95,1
prosciutto diparma w cheese,,Genova Delicatessen,2026-08-05,fallback,17.45,1
prosciutto fig sandwich,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,25.0,1
prosciutto fig sandwich,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,25.0,1
pulled pork,,The Depot Eatery,2026-08-05,web,19.0,1
quarter pounder,,Barney's Burgers,2024-01-15,dom,8.99,1
quarter pounder,,Barney's Burgers,2026-08-05,web,6.95,1
quarter pounder deluxe,,McDonald's,2022-04-16,exif,8.85,1
quarter pounder with cheese,,Barney's Burgers,2026-08-05,web,7.45,1
quarter pounder with cheese,,McDonald's,2022-04-16,exif,10.0,2
racer 5 ipa,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
racer 5 ipa,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
racer 5 ipa,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,6.0,1
ravioli tortellini,,Genova Delicatessen,2024-08-31,exif,15.95,1
ravioli tortellini,,Genova Delicatessen,2026-08-05,fallback,15.95,1
reese s cup,,Five Guys,2023-11-27,exif,1.5,1
regular drink,22 fl oz,Five Guys,2023-11-27,exif,2.99,1
relish,,Five Guys,2023-11-27,exif,0.15,1
roast beef,,Genova Delicatessen,2026-08-05,fallback,12.95,1
roasted brussels sprouts,,Perez Kitchen & Bar,2026-08-05,pdf,14.0,1
roasted cauliflower lentil,,Perez Kitchen & Bar,2026-08-05,pdf,17.0,1
roasted pork loin,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,10.0,1
roasted pork loin,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,10.0,1
roasted pork loin,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,10.0,2
roasted pork loin,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,10.0,1
rooster special,,The Depot Eatery,2026-08-05,web,15.0,1
rosemary ham,,Genova Delicatessen,2026-08-05,fallback,12.95,1
rotisserie chicken,,Genova Delicatessen,2026-08-05,fallback,15.95,1
rotisserie chicken,1/2,Genova Delicatessen,2024-08-31,exif,15.95,1
roy rogers,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,7.0,1
rusty s roundup,,Barney's Burgers,2026-08-05,web,10.45,1
salad of garden lettuce,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,18.0,1
salad of lacinato kale,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,17.0,1
salami,,Genova Delicatessen,2026-08-05,fallback,12.95,1
salami cotto,,Genova Delicatessen,2026-08-05,fallback,12.95,1
salanova lettuce,,Boon Fly Café,2026-07-04,exif,18.0,1
salsa macha shrimp,,Perez Kitchen & Bar,2026-08-05,pdf,15.0,1
salted caramel,,Five Guys,2023-11-27,exif,0.45,1
sandra,,Perez Kitchen & Bar,2026-08-05,pdf,22.0,1
sandwich,,Code 4 Taphouse,2025-11-15,exif,14.75,1
sandwich reg,,Genova Delicatessen,2026-08-05,fallback,12.95,1
sandwich w cheese,,Genova Delicatessen,2026-08-05,fallback,13.95,1
scrimshaw pilsner,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,6.0,1
scrimshaw pilsner,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,6.0,1
scrimshaw pilsner,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,6.0,1
seafood omlet,,The Depot Eatery,2026-08-05,web,19.0,1
shakes,,In-N-Out Burger,2026-06-25,exif,3.05,2
shakes,,McDonald's,2022-04-16,exif,3.09,1
shakes malts,Large,Barney's Burgers,2024-01-15,dom,9.79,1
shakes malts,Medium,Barney's Burgers,2024-01-15,dom,6.49,1
shakes malts,Small,Barney's Burgers,2024-01-15,dom,4.99,1
shakes malts large,Large,Barney's Burgers,2025-11-21,exif,7.8,1
shakes malts medium,Medium,Barney's Burgers,2025-11-21,exif,6.5,1
shakes malts small,Small,Barney's Burgers,2025-11-21,exif,5.0,1
shirley temple,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,6.0,1
short stack or full stack,Full Stack,The Depot Eatery,2026-08-05,web,8.0,1
short stack or full stack,Short Stack,The Depot Eatery,2026-08-05,web,6.0,1
shrimp cocktail,,The Depot Eatery,2026-08-05,web,16.0,1
sierra hash,,Code 4 Taphouse,2025-11-15,exif,14.95,1
smashburger seasoned fries,,Perez Kitchen & Bar,2026-08-05,pdf,17.0,2
smoked chicken club,,Farmstead at Long Meadow Ranch,2021-05-06,wayback,25.0,1
smoked chicken club,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,25.0,1
smoked chicken wings,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,19.0,1
smoked pork hash,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,38.0,1
smoked turkey,,Genova Delicatessen,2026-08-05,fallback,12.95,1
soda,12oz,Barney's Burgers,2026-08-05,web,2.0,1
soda,24oz,Barney's Burgers,2026-08-05,web,2.8,1
soda,32oz,Barney's Burgers,2026-08-05,web,3.25,1
soft drinks,,McDonald's,2022-04-16,exif,1.0,1
soft drinks tea and coffee,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,10.0,1
soft serve,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,4.0,1
soft shell crab sandwich,,Gott's Napa,2026-05-25,exif,14.99,1
solomon,,Perez Kitchen & Bar,2026-08-05,pdf,22.0,1
sopressata,,Genova Delicatessen,2026-08-05,fallback,14.95,1
spanish omlet,,The Depot Eatery,2026-08-05,web,18.0,1
special tortilla soup,,Taqueria El Charro Viejo,2022-12-07,exif,11.5,1
spicy chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
spicy chicken harissa,,Perez Kitchen & Bar,2026-08-05,pdf,19.0,1
spicy deluxe crispy chicken sandwich,,McDonald's,2022-04-16,exif,9.39,1
spicy jack,,Barney's Burgers,2024-01-15,dom,10.99,1
sriracha chicken,,Genova Delicatessen,2026-08-05,fallback,12.95,1
standard,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,45.0,1
standard,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,45.0,1
standard,,Farmstead at Long Meadow Ranch,2024-06-09,wayback,45.0,1
steak,,Code 4 Taphouse,2025-11-15,exif,19.95,3
steak,,Taqueria El Charro Viejo,2022-12-07,exif,8.95,1
steak and frites,,Perez Kitchen & Bar,2026-08-05,pdf,28.0,1
steak with egg and cheese,,Code 4 Taphouse,2025-11-15,exif,14.75,1
steak with poached eggs,,Code 4 Taphouse,2025-11-15,exif,15.95,1
strawberry,,Five Guys,2023-11-27,exif,0.2,1
strawberry french toast,,Code 4 Taphouse,2025-11-15,exif,10.95,2
stuffed french toast,,The Depot Eatery,2026-08-05,web,18.0,1
stumptown coffee carrier,,Farmstead at Long Meadow Ranch,2021-05-11,wayback,30.0,1
stumptown coffee carrier,,Farmstead at Long Meadow Ranch,2021-08-02,wayback,30.0,1
stumptown coffee carrier,,Farmstead at Long Meadow Ranch,2024-06-19,wayback,30.0,1
substitute house infused spicy tequila,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,22.0,1
sundae,,McDonald's,2022-04-16,exif,2.59,1
super veggie omlet,,The Depot Eatery,2026-08-05,web,18.0,1
sweet potato fries,,Barney's Burgers,2024-01-15,dom,5.99,1
sweet potato fries,,Barney's Burgers,2026-08-05,web,6.5,1
sweet potato spinach breakfast burrito,,Perez Kitchen & Bar,2026-08-05,pdf,16.0,1
sweet tea,,McDonald's,2022-04-16,exif,1.0,1
tamal pork,,Taqueria El Charro Viejo,2022-12-07,exif,5.25,1
tannery hero juicy paul,,Gott's Napa,2026-05-25,exif,14.99,1
tater tots,Large,Barney's Burgers,2024-01-15,dom,4.99,1
tater tots,Large,Barney's Burgers,2026-08-05,web,5.0,1
tater tots,Small,Barney's Burgers,2024-01-15,dom,3.99,1
tater tots,Small,Barney's Burgers,2026-08-05,web,4.0,1
teff cakes,,Perez Kitchen & Bar,2026-08-05,pdf,21.0,1
teriyaki,,Barney's Burgers,2026-08-05,web,9.45,1
teriyaki chicken,,Barney's Burgers,2026-08-05,web,9.0,1
the blue,,The Depot Eatery,2026-08-05,web,17.0,1
the brunch burger,,The Depot Eatery,2026-08-05,web,17.0,1
the chili,,The Depot Eatery,2026-08-05,web,17.0,1
the colossal burger,1/2 lb,Burgerville,2026-08-05,fallback,7.99,1
the veggie,,Perez Kitchen & Bar,2026-08-05,pdf,17.0,1
til tip salad,,Barney's Burgers,2024-01-15,dom,10.99,1
til tip salad,,Barney's Burgers,2026-08-05,web,16.5,1
today s soup,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,14.0,1
tomatoes,,Five Guys,2023-11-27,exif,0.05,1
tony bourdain breakfast sandwich,,Perez Kitchen & Bar,2026-08-05,pdf,15.0,1
toscano salami,,Genova Delicatessen,2026-08-05,fallback,14.95,1
traditional,,The Depot Eatery,2026-08-05,web,17.0,1
trailblazer,,The Depot Eatery,2026-08-05,web,16.0,1
train wreck,,The Depot Eatery,2026-08-05,web,18.5,2
tri tip dip,,The Depot Eatery,2026-08-05,web,19.0,1
triple,,Barney's Burgers,2024-01-15,dom,10.99,1
triple,,Barney's Burgers,2026-08-05,web,11.45,1
triple decker club,,The Depot Eatery,2026-08-05,web,18.0,1
triple ham havoc,,Perez Kitchen & Bar,2026-08-05,pdf,19.0,1
triple with cheese,,Barney's Burgers,2026-08-05,web,12.45,1
truffle cremini croquettes,,The Depot Eatery,2026-08-05,web,8.0,1
tuna albacore,,Genova Delicatessen,2026-08-05,fallback,12.95,1
tuna albacore w cheese,,Genova Delicatessen,2026-08-05,fallback,13.95,1
tuna melt,,The Depot Eatery,2026-08-05,web,17.0,1
turkey blt a sandwich,,The Depot Eatery,2026-08-05,web,18.0,1
turkey melt,,The Depot Eatery,2026-08-05,web,16.0,1
turkey pesto omlet,,The Depot Eatery,2026-08-05,web,18.0,1
two french toast,,The Depot Eatery,2026-08-05,web,7.0,1
vampire slayer burger,,Burgerville,2022-09-09,exif,7.99,1
veggie burger,,Barney's Burgers,2024-01-15,dom,7.99,1
veggie burger,,Barney's Burgers,2026-08-05,web,8.65,1
veggie melt,,The Depot Eatery,2026-08-05,web,17.0,1
veggie sandwich,,Five Guys,2023-11-27,exif,5.1,1
vegi burger with cheese,,Barney's Burgers,2026-08-05,web,9.15,1
waffles,Plain,Code 4 Taphouse,2025-11-15,exif,10.95,2
warm cinnamon roll,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,8.0,1
west coast crab roll,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,42.0,1
with cheese,,Five Guys,2023-11-27,exif,5.99,1
with glass of milk,,Farmstead at Long Meadow Ranch,2025-10-15,pdf,4.0,1
wood roasted broccolini,,Farmstead at Long Meadow Ranch,2026-06-15,pdf,14.0,1
